STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,METEO_STATION_TYPE,Meteorological station type,TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,ERROR_TYPE,Error type,ERROR_VAL,Error value,REPORTING_TYPE,Reporting Type,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2006,,6,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2007,,6,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2008,,6,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2009,,6,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2010,,6,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2011,,7,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2012,,8,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2013,,8,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2014,,8,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2015,,8,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2016,,8,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2017,,8,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2018,,8,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2019,,8,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2020,,8,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2021,,8,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2022,,8,,,,N,units,,,,,N,National,,
DATAFLOW,SPC:DF_METEO_MONITOR_NET(1.0),Meteorological monitoring network,I,A,Annual,FJ,Fiji,LAND,Land (fixed),2023,,8,,,,N,units,,,,,N,National,,
